wavelength,EQE
350.0,73.430883541847
351.0,73.430883541847
352.0,73.430883541847
353.0,73.430883541847
354.0,73.430883541847
355.0,73.430883541847
356.0,73.43048449457997
357.0,73.32483673063346
358.0,73.21918896668694
359.0,73.11354120274044
360.0,73.00789343879391
361.0,72.9022456748474
362.0,72.7965979109009
363.0,72.69095014695438
364.0,72.58530238300787
365.0,72.44676695961768
366.0,72.27602007165089
367.0,72.1052731836841
368.0,71.97282351409748
369.0,71.85903835964842
370.0,71.74525320519935
371.0,71.63146805075027
372.0,71.59298641558817
373.0,71.65720667838208
374.0,71.72142694117599
375.0,71.7856472039699
376.0,71.84986746676381
377.0,71.91408772955772
378.0,71.97830799235163
379.0,72.04252825514554
380.0,72.2207411412682
381.0,72.41617682591551
382.0,72.61161251056281
383.0,72.80704819521011
384.0,73.00248387985742
385.0,73.19791956450473
386.0,73.39335524915202
387.0,73.58879093379933
388.0,73.82639658924732
389.0,74.1357557409301
390.0,74.44511489261288
391.0,74.75447404429565
392.0,75.06383319597843
393.0,75.37319234766127
394.0,75.68255149934411
395.0,75.99191065102697
396.0,76.30126980270981
397.0,76.71134049580954
398.0,77.13625059262829
399.0,77.56116068944702
400.0,77.98607078626577
401.0,78.39318759753196
402.0,78.69958769812297
403.0,79.00598779871397
404.0,79.31238789930498
405.0,79.61878799989599
406.0,79.92518810048699
407.0,80.31225796929958
408.0,80.7029910260077
409.0,81.09372408271582
410.0,81.48445713942394
411.0,81.84065815371626
412.0,82.18256686740928
413.0,82.52447558110228
414.0,82.86638429479528
415.0,83.20829300848824
416.0,83.55020172218114
417.0,83.89211043587405
418.0,84.23401914956695
419.0,84.57592786325985
420.0,84.91783657695275
421.0,85.17643146293355
422.0,85.41318005320912
423.0,85.64992864348469
424.0,85.88667723376024
425.0,86.1234258240358
426.0,86.36017441431137
427.0,86.59692300458694
428.0,86.8336715948625
429.0,87.07042018513806
430.0,87.30716877541363
431.0,87.54391736568918
432.0,87.78066595596475
433.0,87.98865804523584
434.0,88.16973362899631
435.0,88.3508092127568
436.0,88.53188479651729
437.0,88.71296038027776
438.0,88.89403596403825
439.0,89.07511154779873
440.0,89.25618713155922
441.0,89.43062719804223
442.0,89.59816325810941
443.0,89.76569931817657
444.0,89.93323537824375
445.0,90.10077143831091
446.0,90.26830749837808
447.0,90.43584355844526
448.0,90.59668313380766
449.0,90.75661020535298
450.0,90.91653727689831
451.0,91.07646434844365
452.0,91.23639141998898
453.0,91.35575439622437
454.0,91.4565929162797
455.0,91.55743143633504
456.0,91.65826995639036
457.0,91.75910847644569
458.0,91.85994699650101
459.0,91.96078551655634
460.0,92.07044146399753
461.0,92.23797752406473
462.0,92.40551358413192
463.0,92.57304964419913
464.0,92.74058570426634
465.0,92.90812176433354
466.0,93.07565782440074
467.0,93.21696981807787
468.0,93.33428655390081
469.0,93.45160328972375
470.0,93.5689200255467
471.0,93.68623676136964
472.0,93.80355349719258
473.0,93.92087023301553
474.0,94.02453795736669
475.0,94.1108368752741
476.0,94.19713579318153
477.0,94.28343471108894
478.0,94.36973362899636
479.0,94.45603254690377
480.0,94.54233146481118
481.0,94.62863038271861
482.0,94.6914096521027
483.0,94.72084257049829
484.0,94.75027548889386
485.0,94.77970840728943
486.0,94.809141325685
487.0,94.83857424408058
488.0,94.86800716247616
489.0,94.89744008087173
490.0,94.9268729992673
491.0,94.95630591766287
492.0,94.97975208494832
493.0,95.00301771791038
494.0,95.02628335087246
495.0,95.04954898383454
496.0,95.0728146167966
497.0,95.09608024975869
498.0,95.11934588272076
499.0,95.14261151568283
500.0,95.16587714864491
501.0,95.12207355251765
502.0,95.07826995639039
503.0,95.03446636026314
504.0,94.99066276413588
505.0,94.94685916800861
506.0,94.90305557188135
507.0,94.85925197575409
508.0,94.81544837962684
509.0,94.77164478349958
510.0,94.72026363352921
511.0,94.66285897041917
512.0,94.60545430730912
513.0,94.54804964419907
514.0,94.49064498108902
515.0,94.43324031797898
516.0,94.37583565486894
517.0,94.31843099175889
518.0,94.26102632864884
519.0,94.20362166553879
520.0,94.14621700242874
521.0,94.0888123393187
522.0,94.03140767620866
523.0,93.97016483882474
524.0,93.90137466715441
525.0,93.83258449548407
526.0,93.76379432381374
527.0,93.6950041521434
528.0,93.62621398047307
529.0,93.55742380880272
530.0,93.4886336371324
531.0,93.42500577935027
532.0,93.372832295849
533.0,93.3206588123477
534.0,93.26848532884641
535.0,93.21631184534513
536.0,93.16413836184384
537.0,93.11196487834256
538.0,93.05979139484127
539.0,93.00761791133999
540.0,92.9554444278387
541.0,92.90327094433742
542.0,92.85109746083613
543.0,92.79892397733485
544.0,92.74485363550517
545.0,92.67175543356878
546.0,92.59865723163239
547.0,92.525559029696
548.0,92.45246082775961
549.0,92.37936262582323
550.0,92.30626442388684
551.0,92.23316622195046
552.0,92.1698882136517
553.0,92.11509914034605
554.0,92.06031006704038
555.0,92.00552099373472
556.0,91.95073192042906
557.0,91.89594284712341
558.0,91.84115377381774
559.0,91.78636470051208
560.0,91.74125750825759
561.0,91.69632719652229
562.0,91.651396884787
563.0,91.6064665730517
564.0,91.56153626131642
565.0,91.51660594958112
566.0,91.4849919480916
567.0,91.45583565486892
568.0,91.42667936164625
569.0,91.39752306842357
570.0,91.3683667752009
571.0,91.33921048197821
572.0,91.31005418875553
573.0,91.24741241835441
574.0,91.17431421641804
575.0,91.10121601448166
576.0,91.02811781254529
577.0,90.95501961060891
578.0,90.88192140867254
579.0,90.80882320673616
580.0,90.73572500479979
581.0,90.66262680286341
582.0,90.56615377381777
583.0,90.41981905735858
584.0,90.27348434089939
585.0,90.12714962444018
586.0,89.98081490798099
587.0,89.91230407349502
588.0,89.89616760507641
589.0,89.88003113665779
590.0,89.86389466823917
591.0,89.84775819982055
592.0,89.83162173140194
593.0,89.81548526298332
594.0,89.7993487945647
595.0,89.78482597298793
596.0,89.78496428557438
597.0,89.78510259816083
598.0,89.78524091074728
599.0,89.78537922333372
600.0,89.78551753592016
601.0,89.7710053537731
602.0,89.73734219811824
603.0,89.70367904246336
604.0,89.67001588680849
605.0,89.63635273115362
606.0,89.60268957549874
607.0,89.50974990106523
608.0,89.27553136717874
609.0,89.04131283329227
610.0,88.92659637409439
611.0,88.82020884737489
612.0,88.7138213206554
613.0,88.6074337939359
614.0,88.50104626721641
615.0,88.45552675675916
616.0,88.431252897838
617.0,88.40697903891684
618.0,88.38270517999568
619.0,88.35843132107452
620.0,88.33415746215337
621.0,88.30988360323221
622.0,88.28560974431105
623.0,88.26370564103766
624.0,88.24919665071954
625.0,88.23468766040142
626.0,88.22017867008331
627.0,88.2056696797652
628.0,88.19116068944707
629.0,88.17665169912895
630.0,88.16214270881085
631.0,88.14763371849273
632.0,88.13312472817461
633.0,87.95460467284967
634.0,87.73503344186766
635.0,87.51546221088564
636.0,87.29785250385682
637.0,87.16483351731083
638.0,87.03181453076485
639.0,86.89879554421886
640.0,86.76577655767287
641.0,86.63275757112689
642.0,86.55493788044414
643.0,86.4884975434644
644.0,86.42205720648467
645.0,86.35561686950493
646.0,86.28917653252518
647.0,86.28831836579565
648.0,86.3250749356435
649.0,86.36183150549134
650.0,86.39858807533918
651.0,86.43534464518702
652.0,86.47210121503485
653.0,86.48082218759075
654.0,86.48866960696907
655.0,86.49651702634739
656.0,86.5043644457257
657.0,86.51221186510402
658.0,86.52005928448234
659.0,86.52790670386067
660.0,86.53575412323899
661.0,86.54360154261731
662.0,86.47443069017498
663.0,86.40518704163455
664.0,86.33594339309411
665.0,86.26669974455368
666.0,86.19745609601324
667.0,86.1282124474728
668.0,86.05896879893237
669.0,85.98972515039193
670.0,85.91985363550513
671.0,85.82844630493807
672.0,85.737038974371
673.0,85.64563164380394
674.0,85.55422431323687
675.0,85.46281698266979
676.0,85.37140965210273
677.0,85.28000232153566
678.0,85.19958853638121
679.0,85.13137276874636
680.0,85.06315700111149
681.0,84.99494123347664
682.0,84.92672546584177
683.0,84.85850969820692
684.0,84.79029393057205
685.0,84.74599471434337
686.0,84.73880937547753
687.0,84.73162403661168
688.0,84.72443869774584
689.0,84.71725335887999
690.0,84.71006802001413
691.0,84.7028826811483
692.0,84.69569734228244
693.0,84.68851200341659
694.0,84.68132666455075
695.0,84.63054456974375
696.0,84.57741996267724
697.0,84.52429535561075
698.0,84.47117074854424
699.0,84.41804614147775
700.0,84.34614455297864
701.0,84.26816391674075
702.0,84.19018328050285
703.0,84.11220264426497
