wavelength,EQE
280.0,-0.057049044154239996
281.0,-0.057049044154239996
282.0,-0.057049044154239996
283.0,-0.057049044154239996
284.0,-0.057049044154239996
285.0,-0.057049044154239996
286.0,-0.057049044154239996
287.0,-0.057049044154239996
288.0,-0.057049044154239996
289.0,-0.057049044154239996
290.0,-0.057049044154239996
291.0,-0.057049044154239996
292.0,-0.057049044154239996
293.0,-0.057049044154239996
294.0,-0.057049044154239996
295.0,-0.057049044154239996
296.0,-0.057049044154239996
297.0,-0.057049044154239996
298.0,-0.057049044154239996
299.0,-0.057049044154239996
300.0,-0.057049044154239996
301.0,-0.057049044154239996
302.0,-0.057049044154239996
303.0,-0.057049044154239996
304.0,-0.057049044154239996
305.0,-0.057049044154239996
306.0,-0.057049044154239996
307.0,-0.057049044154239996
308.0,-0.057049044154239996
309.0,-0.057049044154239996
310.0,-0.057049044154239996
311.0,-0.057049044154239996
312.0,-0.057049044154239996
313.0,-0.057049044154239996
314.0,-0.057049044154239996
315.0,-0.057049044154239996
316.0,-0.057049044154239996
317.0,-0.057049044154239996
318.0,-0.057049044154239996
319.0,-0.057049044154239996
320.0,-0.057049044154239996
321.0,-0.057049044154239996
322.0,-0.057049044154239996
323.0,-0.057049044154239996
324.0,-0.057049044154239996
325.0,-0.057049044154239996
326.0,-0.057049044154239996
327.0,-0.057049044154239996
328.0,-0.057049044154239996
329.0,-0.057049044154239996
330.0,-0.057049044154239996
331.0,-0.057049044154239996
332.0,-0.057049044154239996
333.0,-0.057049044154239996
334.0,-0.057049044154239996
335.0,-0.057049044154239996
336.0,-0.057049044154239996
337.0,-0.057049044154239996
338.0,-0.057049044154239996
339.0,-0.057049044154239996
340.0,-0.057049044154239996
341.0,-0.057049044154239996
342.0,-0.057049044154239996
343.0,-0.057049044154239996
344.0,-0.057049044154239996
345.0,-0.057049044154239996
346.0,-0.057049044154239996
347.0,-0.057049044154239996
348.0,-0.057049044154239996
349.0,-0.057049044154239996
350.0,-0.057049044154239996
351.0,-0.057049044154239996
352.0,-0.057049044154239996
353.0,-0.057049044154239996
354.0,-0.057049044154239996
355.0,-0.057049044154239996
356.0,-0.057049044154239996
357.0,-0.057049044154239996
358.0,-0.057049044154239996
359.0,-0.057049044154239996
360.0,-0.057049044154239996
361.0,-0.057049044154239996
362.0,-0.057049044154239996
363.0,-0.057049044154239996
364.0,-0.057049044154239996
365.0,-0.057049044154239996
366.0,-0.057049044154239996
367.0,-0.057049044154239996
368.0,-0.057049044154239996
369.0,-0.057049044154239996
370.0,-0.057049044154239996
371.0,-0.057049044154239996
372.0,-0.057049044154239996
373.0,-0.057049044154239996
374.0,-0.057049044154239996
375.0,-0.057049044154239996
376.0,-0.057049044154239996
377.0,-0.057049044154239996
378.0,-0.057049044154239996
379.0,-0.057049044154239996
380.0,-0.057049044154239996
381.0,-0.057049044154239996
382.0,-0.057049044154239996
383.0,-0.057049044154239996
384.0,-0.057049044154239996
385.0,-0.057049044154239996
386.0,-0.057049044154239996
387.0,-0.057049044154239996
388.0,-0.057049044154239996
389.0,-0.057049044154239996
390.0,-0.057049044154239996
391.0,-0.057049044154239996
392.0,-0.057049044154239996
393.0,-0.057049044154239996
394.0,-0.057049044154239996
395.0,-0.057049044154239996
396.0,-0.057049044154239996
397.0,-0.057049044154239996
398.0,-0.057049044154239996
399.0,-0.057049044154239996
400.0,-0.057049044154239996
401.0,-0.057049044154239996
402.0,-0.057049044154239996
403.0,-0.057049044154239996
404.0,-0.057049044154239996
405.0,-0.057049044154239996
406.0,-0.057049044154239996
407.0,-0.057049044154239996
408.0,-0.057049044154239996
409.0,-0.057049044154239996
410.0,-0.057049044154239996
411.0,-0.057049044154239996
412.0,-0.057049044154239996
413.0,-0.057049044154239996
414.0,-0.057049044154239996
415.0,-0.057049044154239996
416.0,-0.057049044154239996
417.0,-0.057049044154239996
418.0,-0.057049044154239996
419.0,-0.057049044154239996
420.0,-0.057049044154239996
421.0,-0.057049044154239996
422.0,-0.057049044154239996
423.0,-0.057049044154239996
424.0,-0.057049044154239996
425.0,-0.057049044154239996
426.0,-0.057049044154239996
427.0,-0.057049044154239996
428.0,-0.057049044154239996
429.0,-0.057049044154239996
430.0,-0.057049044154239996
431.0,-0.057049044154239996
432.0,-0.057049044154239996
433.0,-0.057049044154239996
434.0,-0.057049044154239996
435.0,-0.057049044154239996
436.0,-0.057049044154239996
437.0,-0.057049044154239996
438.0,-0.057049044154239996
439.0,-0.057049044154239996
440.0,-0.057049044154239996
441.0,-0.057049044154239996
442.0,-0.057049044154239996
443.0,-0.057049044154239996
444.0,-0.057049044154239996
445.0,-0.057049044154239996
446.0,-0.057049044154239996
447.0,-0.057049044154239996
448.0,-0.057049044154239996
449.0,-0.057049044154239996
450.0,-0.057049044154239996
451.0,-0.057049044154239996
452.0,-0.057049044154239996
453.0,-0.057049044154239996
454.0,-0.057049044154239996
455.0,-0.057049044154239996
456.0,-0.057049044154239996
457.0,-0.057049044154239996
458.0,-0.057049044154239996
459.0,-0.057049044154239996
460.0,-0.057049044154239996
